codigo	medicamento	concentracion	forma	m_res	atc
J 05 01	Abacavir	300 mg	Comprimido		J05AF06
J 05 02	Abacavir+Zidovudina+Lamivudina	300 mg+300 mg+150 mg	Comprimido		J05AF30
A 06 01	Aceite mineral	40%	Emulsión oral		A06AG06
A 11 01	Aceite vitaminado (alimento)	Según disponibilidad	Emulsión oral		A11CB**
C 03 01	Acetazolamida	250 mg	Comprimido		C03**
V 03 01	Acetil Cisteína	10%	Inyectable		V03AB23
J 05 03	Aciclovir	200 mg	Comprimido		J05AB01
J 05 04	Aciclovir	400 mg	Comprimido		J05AB01
S 01 01	Aciclovir	3%	Crema o pomada oftálmica		S01AD03
G 01 01	Acido acético (Acido tricloroacético)	50%	Solución tópica		G01AD02
B 01 01	Acido acetil salicílico	100 mg	Comprimido		B01AC06
N 02 01	Acido acetil salicílico	500 mg	Comprimido		N02BA01
M 05 03	Acido Alendronico (Alendronato)	70 mg	Comprimido	R	M05BA04
B 02 01	Acido aminocaproico	50 mg/ml (5ml)	Inyectable		B02AA01
A 11 01	Acido Acetil Salicílico (Alendronato)	500 mg/ml (5ml)	Inyectable		A11CB**
A 11 02	Acido Ascorbico (Vitamina C)	500 mg/ml (2 ml)	Inyectable		A11GA01
A 11 03	Acido Ascórbico (Vitamina C)	Según disponibilidad	Solución oral		A11GA01
B 03 01	Acido fólico	5 mg	Comprimido		B03BB01
J 04 11	Acido p-aminosalicilico	4 g	Polvo oral		J04AA01
D 01 01	Acido salicílico	5%	Solución tópica		D01AE12
N 03 01	Acido Valpróico ó Valproato sódico	200 mg/5ml	Jarabe o Solución		N03AG01
N 03 02	Acido Valpróico ó Valproato sódico	250 mg/5ml	Jarabe o Solución		N03AG01
N 03 03	Acido Valpróico ó Valproato sódico	500 mg	Cápsula o Comprimido		N03AG01
C 01 01	Adenosina	6 mg/2ml	Inyectable		C01EB10
B 05 12	Agentes con gelatina	Según disponibilidad	Solucion parenteral de gran volumen		B05AA06
B 05 01	Agua para inyección	5 ml	Inyectable		B05X**
P 02 01	Albendazol	200 mg	Comprimido		P02CA03
P 02 02	Albendazol	200 mg/5ml	Suspensión		P02CA03
B 05 02	Albúmina humana	20%	Inyectable		B05AA01
D 08 01	Alcohol etílico (Etanol)	70% o 90%	Solución		D08AX08
V 06 02	Alimentos Terapéutico Listo para Uso (ATLU)	Según concentracion standard	Polvo, pasta o granulado según disponibilidad		V06DB**
